Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
2/15/2019,5 Island,21521,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19541,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,17835,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18243,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18298,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21747,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19592,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21813,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21517,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21421,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,22288,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21811,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18130,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,18515,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19427,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,23575,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19486,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,21970,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
2/15/2019,5 Island,19605,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,18417,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,18037,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,18382,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
