"","Lake","Year","C.L.BM","C.BM","C.U.BM","C.L.BMDensity","C.BMDensity","C.U.BMDensity","B.L.BM","B.BM","B.U.BM","B.L.BMDensity","B.BMDensity","B.U.BMDensity"
"1","Blue","2019",34818.4086929446,64810.3282656064,94804.7734736007,129.436463542545,240.930588347979,352.434102132345,NA,NA,NA,NA,NA,NA
"2","Center","2019",2099.31908527787,8194.11642963298,14283.2704431137,9.54235947853577,37.245983771059,64.9239565596076,0,19280.2173703756,69268.1976150265,0,87.6373516835255,314.855443704666
"3","Five Island","2019",50004.7331541089,145281.63493214,240551.176578708,51.392325954891,149.31308831669,247.226286309052,0,9696.99488889831,66718.0039746534,0,9.96607902250597,68.5693771579171
"4","N Twin","2019",11976.445542084,19712.3891880628,27456.2590058101,26.4380696293245,43.5152079206685,60.6098432799339,133107.267868085,185644.826477586,238173.295544075,293.835028406369,409.811978979219,525.768864335707
"5","Silver","2019",46852.0707574567,95082.4483962984,143302.462825506,45.0067922742139,91.3376065286248,137.658465730553,0,31458.4581339686,216434.526004264,0,30.2194602631783,207.910207496892
"6","S Twin","2019",12043.0950632152,27843.2320443355,43643.3690254558,20.0718251053587,46.4053867405592,72.7389483757597,0,55338.3712379366,150989.337404634,0,92.2306187298943,251.648895674389
"7","Storm","2019",37833.0713597543,74330.2359701105,110827.400580467,12.2160385404438,24.0007219793705,35.7854054182973,0,1028.6901003545,7077.12746256548,0,0.332156958461254,2.2851557838442
