Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine PVG,Otolith PVG,Spine TFF,Otolith TFF,Spine DRF,Otolith DRF
N Twin,108,COC,467,1490,7,8,12,7,9,8,,
N Twin,109,COC,493,1625,7,4,13,8,7,30,,
N Twin,110,COC,488,1560,5,6,7,10,5,7,,
N Twin,111,COC,432,1245,10,8,8,8,9,8,,
N Twin,112,COC,401,760,6,6,9,7,13,10,,
N Twin,113,BIB,686,5220,16,11,8,7,10,7,,
N Twin,114,BIB,683,4490,13,10,13,12,7,13,,
N Twin,115,BIB,640,3780,24,19,12,10,5,15,,
N Twin,116,BIB,653,4050,14,15,15,12,15,20,,
N Twin,117,BIB,627,3745,20,17,13,6,14,17,,
N Twin,118,BIB,594,3190,14,15,7,8,12,10,,
N Twin,119,BIB,671,3915,8,16,18,7,13,16,,
N Twin,120,BIB,632,4025,10,11,8,9,7,4,,
N Twin,121,BIB,655,4400,16,17,9,7,15,15,,
N Twin,122,BIB,597,3110,10,10,10,8,15,11,,
N Twin,123,BIB,693,4635,11,11,12,12,11,11,,
N Twin,124,BIB,663,4295,17,15,10,13,13,16,,
N Twin,125,BIB,610,3375,10,10,12,8,14,12,,
N Twin,126,BIB,686,5210,14,14,11,8,14,12,,
N Twin,127,BIB,602,3300,8,9,9,8,8,9,,
N Twin,128,BIB,648,3625,14,13,13,13,7,12,,
N Twin,129,BIB,602,2950,15,15,10,15,5,14,,
N Twin,130,BIB,648,4300,18,16,9,10,6,16,,
N Twin,131,BIB,630,3375,17,17,14,14,20,20,,
N Twin,132,BIB,648,3995,20,14,8,13,15,22,,
N Twin,133,BIB,645,3815,21,17,13,9,13,12,,
N Twin,134,BIB,617,3655,14,14,7,12,12,14,,
N Twin,135,BIB,744,6215,25,17,9,13,16,14,,
N Twin,136,BIB,630,3345,19,19,7,14,20,21,,
N Twin,137,BIB,615,3415,11,10,13,7,12,11,,
N Twin,138,BIB,592,2860,13,13,8,9,11,11,,
N Twin,139,BIB,643,3715,17,16,6,,3,27,,
N Twin,140,BIB,439,1315,7,6,9,,5,5,,
N Twin,141,BIB,587,2775,17,18,13,,19,19,,
N Twin,142,BIB,612,3585,16,16,8,,11,18,,
N Twin,143,BIB,605,3070,13,14,11,,12,14,,
N Twin,144,BIB,640,3570,6,8,9,,8,8,,
N Twin,145,BIB,612,3145,24,16,12,,15,13,,
N Twin,146,BIB,610,2985,13,13,7,,11,12,,
N Twin,147,BIB,592,3335,16,15,15,,12,13,,
N Twin,148,BIB,602,3165,13,15,14,,13,8,,
N Twin,149,BIB,638,3665,16,18,13,,18,13,,
N Twin,150,BIB,572,3005,9,9,8,,13,17,,
N Twin,151,BIB,622,3685,26,18,6,,19,25,,
N Twin,152,BIB,671,4055,11,13,8,,12,16,,
N Twin,153,BIB,643,3295,12,14,9,,18,7,,
N Twin,154,BIB,630,4070,15,13,10,,10,17,,
N Twin,155,BIB,592,3245,19,14,13,,13,15,,
N Twin,156,BIB,683,4650,18,17,10,,15,17,,
N Twin,157,BIB,584,2820,17,15,13,,12,18,,
N Twin,158,BIB,564,3155,16,11,10,,8,12,,
N Twin,159,BIB,566,2990,16,15,7,,17,14,,
N Twin,160,BIB,597,3270,23,22,11,,13,22,,
N Twin,161,COC,775,7810,28,24,23,,29,35,,
N Twin,162,COC,536,2135,,,,,,,,
N Twin,163,COC,511,1690,7,8,9,,5,6,,
N Twin,164,COC,470,1445,6,7,8,,10,8,,
N Twin,165,COC,452,1215,9,9,9,,8,19,,
N Twin,166,COC,323,555,1,,,,,4,,
N Twin,167,COC,470,1250,12,12,10,,9,22,,
N Twin,168,COC,561,2285,8,8,9,,11,17,,
N Twin,169,COC,699,5095,26,19,10,,22,36,,
N Twin,170,COC,381,60,3,4,10,,4,3,,
N Twin,171,COC,561,2350,8,10,8,,9,5,,
N Twin,172,COC,523,1865,7,9,13,,21,29,,
N Twin,173,COC,330,680,1,,,,,2,,
N Twin,174,COC,559,2165,8,9,11,,8,9,,
N Twin,175,COC,378,780,3,2,13,,2,4,,
N Twin,176,COC,551,2275,7,8,13,,17,21,,
N Twin,177,COC,439,1145,8,9,14,,12,11,,
N Twin,178,COC,488,1147,7,10,9,,15,17,,
N Twin,179,COC,516,1930,10,11,11,,15,13,,
N Twin,180,COC,478,1355,7,7,8,,4,3,,
N Twin,181,COC,244,245,1,1,4,,2,2,,
N Twin,182,COC,257,310,2,,,,,,,
N Twin,183,COC,295,465,5,5,5,,2,2,,
N Twin,184,COC,373,690,4,5,9,,8,32,,
N Twin,185,COC,330,615,1,5,7,,6,2,,
N Twin,186,COC,384,785,3,4,7,,5,8,,
N Twin,187,COC,668,3985,8,8,10,,10,7,,
