Lake,Month,Date,Year,Buffalo,Drum,Carp,Total Rough Fish
High Lake,april,4/16/2007,2007,36000,0,17000,53000
High Lake,april,4/15/2009,2009,15200,0,55600,70800
High Lake,april,4/21/2009,2009,14100,0,27900,42000
High Lake,april,4/29/2009,2009,5600,0,18200,23800
High Lake,May,5/19/2011,2011,1800,0,4600,6400
High Lake,April,4/10/2012,2012,6000,0,37600,43600
High Lake,April,4/12/2012,2012,3200,0,17600,20800
High Lake,April,4/16/2013,2013,10500,0,1800,12300
High Lake,May,5/13/2013,2013,13000,0,950,13950
High Lake,May,5/13/2013,2013,13000,0,950,13950
High Lake,May,5/15/2013,2013,3000,0,300,3300
High Lake,September,9/24/2013,2013,20000,0,0,20000
High Lake,October,10/7/2013,2013,25000,0,150,25150
High Lake,October,10/14/2013,2013,350,0,50,400
High Lake,October,10/15/2013,2013,3950,0,850,4800
High Lake,September,9/11/2015,2015,14975,0,11470,26445
High Lake,September,9/12/2015,2015,13200,0,3200,16400
High Lake,October,10/4/2015,2015,7050,0,2830,9880
High Lake,May,5/9/2016,2016,2667,30000,334,33001
High Lake,May,5/10/2016,2016,2667,30000,334,33001
High Lake,May,5/11/2016,2016,2667,30000,334,33001
High Lake,September,9/12/2016,2016,3000,0,21000,24000
High Lake,September,9/14/2016,2016,3000,0,21000,24000
Ingham Lake,January,1/12/1989,1989,300,0,22300,22600
Ingham Lake,April,4/13/1989,1989,0,0,1200,1200
Ingham Lake,April,4/14/1992,1992,275,0,50,325
Ingham Lake,April,4/27/1992,1992,2050,0,2000,4050
Ingham Lake,April,4/30/1992,1992,30,0,25,55
Ingham Lake,April,4/30/1992,1992,225,0,200,425
Ingham Lake,September,9/30/1992,1992,100,0,200,300
Ingham Lake,October,10/1/1992,1992,550,0,300,850
Ingham Lake,October,10/3/1992,1992,3500,0,1000,4500
Ingham Lake,October,10/5/1992,1992,1000,0,300,1300
Ingham Lake,October,10/3/1994,1994,6900,0,300,7200
Ingham Lake,October,10/4/1994,1994,12700,0,900,13600
Ingham Lake,October,10/24/1994,1994,16700,0,1100,17800
Ingham Lake,October,10/27/1994,1994,13400,0,1300,14700
Ingham Lake,November,11/10/1994,1994,8800,0,22750,31550
Ingham Lake,April,4/4/1995,1995,3000,0,160,3160
Ingham Lake,October,10/4/1995,1995,7200,0,4000,11200
Ingham Lake,October,10/24/1995,1995,9900,0,5400,15300
Ingham Lake,October,10/25/1995,1995,14300,0,25540,39840
Ingham Lake,November,11/3/1995,1995,1300,0,300,1600
Ingham Lake,September,9/24/1996,1996,1225,0,4100,5325
Ingham Lake,September,9/25/1996,1996,3100,0,4800,7900
Ingham Lake,October,10/23/1996,1996,2720,0,13365,16085
Ingham Lake,April,4/16/1998,1998,0,0,250,250
Ingham Lake,September,9/22/1998,1998,750,0,75,825
Ingham Lake,October,10/19/1998,1998,22675,0,675,23350
Ingham Lake,November,11/2/1998,1998,1050,0,2200,3250
Ingham Lake,April,4/13/1999,1999,4500,0,4700,9200
Ingham Lake,October,10/19/1999,1999,6250,0,6400,12650
Ingham Lake,October,10/20/1999,1999,10050,0,26450,36500
Ingham Lake,November,11/3/1999,1999,19600,0,28300,47900
Ingham Lake,December,12/1/1999,1999,4315,0,33200,37515
Ingham Lake,October,10/16/2000,2000,2890,0,2400,5290
Ingham Lake,October,10/2/2001,2001,1950,0,400,2350
Ingham Lake,october,10/1/2002,2002,750,0,25,775
Ingham Lake,October,10/2/2002,2002,12150,0,500,12650
Ingham Lake,october,10/3/2002,2002,4000,0,150,4150
Ingham Lake,november,11/5/2002,2002,6300,0,45,6345
Ingham Lake,november,11/6/2002,2002,12600,0,75,12675
Ingham Lake,september,9/11/2003,2003,24020,0,2590,26610
Ingham Lake,September,9/23/2003,2003,700,0,50,750
Ingham Lake,october,10/9/2003,2003,125,0,900,1025
Ingham Lake,november,11/1/2003,2003,2300,0,20,2320
Ingham Lake,november,11/2/2003,2003,400,0,25,425
Ingham Lake,april,4/27/2004,2004,6500,0,700,7200
Ingham Lake,april,4/28/2004,2004,4850,0,500,5350
Ingham Lake,may,5/6/2004,2004,1500,0,300,1800
Ingham Lake,june,6/1/2005,2005,12700,0,8200,20900
Ingham Lake,june,6/6/2005,2005,5400,0,7600,13000
Ingham Lake,may,5/10/2006,2006,4700,0,8500,13200
Ingham Lake,april,4/2/2007,2007,31600,0,13500,45100
Ingham Lake,September,9/5/2008,2008,1575,0,425,2000
Ingham Lake,october,10/2/2008,2008,4500,0,3550,8050
Ingham Lake,october,10/25/2008,2008,850,0,6850,7700
Ingham Lake,October,10/26/2009,2009,8611,0,11345,19956
Ingham Lake,october,10/27/2009,2009,13839,0,8775,22614
Ingham Lake,September,9/21/2010,2010,5150,0,785,5935
Ingham Lake,October,10/9/2010,2010,3550,0,300,3850
Ingham Lake,September,9/20/2011,2011,2440,0,850,3290
Ingham Lake,October,10/8/2011,2011,2840,0,240,3080
Ingham Lake,October,10/8/2011,2011,12430,0,410,12840
Ingham Lake,November,11/10/2012,2012,11400,0,4350,15750
Ingham Lake,November,11/11/2012,2012,14400,0,3750,18150
Ingham Lake,November,11/13/2012,2012,4900,0,10285,15185
Ingham Lake,September,9/15/2013,2013,3850,0,3500,7350
Ingham Lake,September,9/27/2014,2014,37070,0,1970,39040
Ingham Lake,October,10/5/2014,2014,15100,0,2414,17514
Ingham Lake,October,10/2/2015,2015,14200,0,1480,15680
Ingham Lake,October,10/3/2015,2015,12550,0,2450,15000
Ingham Lake,October,10/16/2016,2016,12360,0,685,13045
Ingham Lake,October,10/17/2016,2016,6750,0,800,7550
Ingham Lake,October,10/31/2016,2016,2175,0,1050,3225
Ingham Lake,November,11/1/2016,2016,18140,0,169,18309
Ingham Lake,April,4/25/2017,2017,600,0,850,1450
Ingham Lake,May,5/8/2017,2017,2200,0,2500,4700
Iowa Lake,September,9/23/1996,1996,625,0,4700,5325
Iowa Lake,April,4/4/1997,1997,6455,870,4300,11625
Iowa Lake,September,9/22/1997,1997,250,175,3460,3885
Iowa Lake,April,4/13/1998,1998,13880,320,1200,15400
Iowa Lake,September,9/21/1998,1998,200,0,800,1000
Iowa Lake,November,11/11/1998,1998,3350,45,7650,11045
Iowa Lake,November,11/11/1998,1998,0,0,0,0
Iowa Lake,April,4/6/1999,1999,14300,1800,1100,17200
Iowa Lake,April,4/12/1999,1999,4000,800,4600,9400
Iowa Lake,September,9/29/1999,1999,17035,210,3700,20945
Iowa Lake,April,4/13/2000,2000,3300,0,10,3310
Iowa Lake,September,9/26/2000,2000,10100,0,100,10200
Iowa Lake,October,10/18/2000,2000,4710,0,3900,8610
Iowa Lake,October,10/3/2005,2005,2300,0,0,2300
Iowa Lake emmet co.,may,5/1/2006,2006,0,0,0,0
Iowa Lake emmet co.,September,9/15/2014,2014,281,0,3600,3881
Iowa Lake emmet co.,October,10/8/2015,2015,9867,0,11000,20867
Iowa Lake Osceola Co.,September,9/24/2003,2003,7100,30,150,7280
Iowa Lake Osceola Co.,September,9/25/2003,2003,6125,0,175,6300
Little Spirit Lake,May,5/5/1993,1993,1650,100,2300,4050
Little Spirit Lake,May,5/7/1993,1993,4500,0,11200,15700
Little Spirit Lake,May,5/8/1993,1993,1500,0,10300,11800
Little Spirit Lake,May,5/10/1993,1993,3400,0,2100,5500
Little Spirit Lake,May,5/13/1993,1993,4400,0,1300,5700
Little Spirit Lake,June,6/3/1993,1993,9400,0,1100,10500
Little Spirit Lake,May,5/31/1995,1995,1000,0,1600,2600
Little Spirit Lake,June,6/5/1995,1995,200,100,14600,14900
Little Spirit Lake,October,10/7/1996,1996,300,250,16500,17050
Little Spirit Lake,October,10/10/1996,1996,350,700,6500,7550
Little Spirit Lake,April,4/28/1997,1997,0,350,10340,10690
Little Spirit Lake,May,5/12/1997,1997,0,660,10770,11430
Little Spirit Lake,May,5/16/1997,1997,110,140,640,890
Little Spirit Lake,February,2/5/1999,1999,908,0,14475,15383
Little Spirit Lake,October,10/26/2000,2000,5400,300,4000,9700
Little Spirit Lake,november,11/5/2001,2001,6200,0,5100,11300
Little Spirit Lake,november,11/8/2001,2001,200,0,50,250
Little Spirit Lake,September,9/30/2002,2002,675,300,125,1100
Little Spirit Lake,October,10/1/2002,2002,700,250,8900,9850
Little Spirit Lake,October,10/28/2002,2002,12,0,10,22
Little Spirit Lake,may,5/3/2004,2004,200,7500,100,7800
Little Spirit Lake,october,10/2/2006,2006,7800,0,17000,24800
Little Spirit Lake,may,5/15/2007,2007,4200,0,6600,10800
Little Spirit Lake,may,5/12/2008,2008,6600,0,9400,16000
Little Spirit Lake,may,5/12/2008,2008,1100,0,2900,4000
Little Spirit lake,may,5/3/2010,2010,300,0,8250,8550
Little Swan Lake,September,9/19/1994,1994,10535,0,150,10685
Little Swan Lake,September,9/26/1994,1994,10800,0,3500,14300
Little Swan Lake,September,9/27/1994,1994,5100,0,6100,11200
Little Swan Lake,October,10/6/1994,1994,3800,0,240,4040
Little Swan Lake,March,3/28/1995,1995,7000,0,1500,8500
Little Swan Lake,September,9/20/1995,1995,4900,0,5600,10500
Little Swan Lake,September,9/21/1995,1995,7600,0,9400,17000
Little Swan Lake,September,9/30/1996,1996,4200,0,1040,5240
Little Swan Lake,October,10/1/1996,1996,3480,0,1125,4605
Little Swan Lake,May,5/26/1998,1998,4150,0,2100,6250
Little Swan Lake,October,10/14/1998,1998,7800,0,28400,36200
Little Swan Lake,June,6/7/1999,1999,1100,50,4200,5350
Little Swan Lake,October,10/11/1999,1999,20220,0,33474,53694
Little Swan Lake,November,11/10/1999,1999,3600,0,8550,12150
Little Swan Lake,October,10/30/2000,2000,1300,0,975,2275
Little Swan Lake,October,10/23/2001,2001,9730,0,2100,11830
Little Swan Lake,October,10/24/2001,2001,7100,0,4870,11970
Little Swan Lake,november,11/6/2001,2001,3190,0,2900,6090
Little Swan Lake,november,11/7/2001,2001,822,0,750,1572
Little Swan Lake,October,10/5/2004,2004,1450,0,50,1500
Little Swan Lake,October,10/6/2004,2004,1629,0,260,1889
little swan lake,october,10/4/2006,2006,1931,0,850,2781
little swan lake,october,10/5/2006,2006,11300,0,3365,14665
little swan lake,october,10/26/2007,2007,13100,0,1585,14685
little swan lake,october,10/29/2007,2007,4930,0,1135,6065
little swan lake,September,9/30/2008,2008,7400,0,4900,12300
little swan lake,September,10/1/2008,2008,6065,0,7100,13165
little swan lake,October,10/1/2010,2010,12250,0,1525,13775
Little Swan Lake,October,10/2/2010,2010,4100,0,415,4515
little swan lake,September,9/25/2011,2011,11165,0,24395,35560
little swan lake,October,10/1/2011,2011,6740,0,5900,12640
little swan lake,October,10/2/2011,2011,4110,0,6900,11010
little swan lake,April,4/17/2012,2012,1300,0,4200,5500
little swan lake,October,10/6/2013,2013,1825,0,6085,7910
Lost Island Lake,October,10/2/1984,1984,125,0,990,1115
Lost Island Lake,October,10/3/1984,1984,100,0,3500,3600
Lost Island Lake,October,10/4/1984,1984,246,0,16760,17006
Lost Island Lake,October,10/11/1984,1984,3300,31,11140,14471
Lost Island Lake,October,10/31/1984,1984,1710,75,5040,6825
Lost Island Lake,November,11/2/1984,1984,1390,425,60120,61935
Lost Island Lake,November,11/13/1984,1984,400,50,14640,15090
Lost Island Lake,November,11/14/1984,1984,270,0,3720,3990
Lost Island Lake,November,11/16/1984,1984,960,50,21156,22166
Lost Island Lake,November,11/24/1984,1984,77,45,5485,5607
Lost Island Lake,October,10/7/1985,1985,0,50,4000,4050
Lost Island Lake,October,10/8/1985,1985,1130,95,11408,12633
Lost Island Lake,October,10/9/1985,1985,649,100,15250,15999
Lost Island Lake,October,10/15/1985,1985,0,50,42893,42943
Lost Island Lake,October,10/16/1985,1985,2000,200,12250,14450
Lost Island Lake,October,10/29/1985,1985,250,60,10680,10990
Lost Island Lake,October,10/30/1985,1985,321,75,22612,23008
Lost Island Lake,November,11/13/1985,1985,105,0,4740,4845
Lost Island Lake,November,11/14/1985,1985,300,15,17915,18230
Lost Island Lake,October,10/1/1986,1986,297,10,3000,3307
Lost Island Lake,October,10/2/1986,1986,600,60,4000,4660
Lost Island Lake,October,10/6/1986,1986,9,30,7400,7439
Lost Island Lake,November,11/4/1986,1986,0,25,8920,8945
Lost Island Lake,November,11/5/1986,1986,18,10,14700,14728
Lost Island Lake,November,11/7/1986,1986,0,0,0,0
Lost Island Lake,November,11/10/1986,1986,22,12,8890,8924
Lost Island Lake,October,10/5/1987,1987,0,50,5500,5550
Lost Island Lake,November,11/2/1987,1987,50,0,39390,39440
Lost Island Lake,November,11/5/1987,1987,250,75,5600,5925
Lost Island Lake,November,11/17/1987,1987,250,100,4440,4790
Lost Island Lake,January,1/14/1989,1989,0,250,18600,18850
Lost Island Lake,May,5/3/1989,1989,0,0,0,0
Lost Island Lake,May,5/4/1989,1989,0,650,3500,4150
Lost Island Lake,May,5/17/1989,1989,0,0,7600,7600
Lost Island Lake,May,5/18/1989,1989,0,0,1100,1100
Lost Island Lake,May,5/22/1989,1989,150,100,3200,3450
Lost Island Lake,October,10/20/1989,1989,0,0,0,0
Lost Island Lake,January,1/8/1990,1990,313,749,3050,4112
Lost Island Lake,May,5/4/1990,1990,0,0,700,700
Lost Island Lake,May,5/5/1990,1990,0,50,7400,7450
Lost Island Lake,May,5/12/1990,1990,0,250,6200,6450
Lost Island Lake,April,4/23/1992,1992,2900,0,5450,8350
Lost Island Lake,April,4/23/1992,1992,1170,0,100,1270
Lost Island Lake,October,10/19/1992,1992,1200,0,1400,2600
Lost Island Lake,October,10/20/1992,1992,0,0,0,0
Lost Island Lake,May,5/3/1993,1993,666,500,2140,3306
Lost Island Lake,May,5/4/1993,1993,1600,200,2900,4700
Lost Island Lake,May,5/5/1993,1993,800,70,1300,2170
Lost Island Lake,November,11/8/1994,1994,100,0,1000,1100
Lost Island Lake,November,11/9/1994,1994,4300,0,1300,5600
Lost Island Lake,March,3/26/1996,1996,0,50,3500,3550
Lost Island Lake,April,4/10/1996,1996,44000,500,4500,49000
Lost Island Lake,April,4/6/1998,1998,6650,220,11705,18575
Lost Island Lake,April,4/9/1998,1998,1850,0,3865,5715
Lost Island Lake,April,4/13/1998,1998,400,0,539,939
Lost Island Lake,April,4/14/1998,1998,6650,0,1039,7689
Lost Island Lake,April,4/20/1998,1998,550,0,4826,5376
Lost Island Lake,April,4/21/1998,1998,0,0,5945,5945
Lost Island Lake,April,4/22/1998,1998,1750,0,900,2650
Lost Island Lake,May,5/6/1998,1998,7300,100,2000,9400
Lost Island Lake,May,5/7/1998,1998,19200,150,4600,23950
Lost Island Lake,May,5/11/1998,1998,5000,50,10650,15700
Lost Island Lake,May,5/12/1998,1998,950,50,6200,7200
Lost Island Lake,May,5/13/1998,1998,2000,20,4100,6120
Lost Island Lake,May,5/14/1998,1998,150,0,10100,10250
Lost Island Lake,May,5/27/1998,1998,2400,250,25400,28050
Lost Island Lake,May,5/29/1998,1998,12800,200,14050,27050
Lost Island Lake,June,6/2/1998,1998,2000,50,2500,4550
Lost Island Lake,June,6/3/1998,1998,11900,100,6500,18500
Lost Island Lake,June,6/4/1998,1998,7800,100,6400,14300
Lost Island Lake,June,6/9/1998,1998,5300,50,550,5900
Lost Island Lake,April,4/20/1999,1999,1100,150,1900,3150
Lost Island Lake,April,4/21/1999,1999,1800,100,2100,4000
Lost Island Lake,April,4/26/1999,1999,4300,100,23900,28300
Lost Island Lake,April,4/28/1999,1999,7700,300,19250,27250
Lost Island Lake,April,4/29/1999,1999,1500,50,8300,9850
Lost Island Lake,May,5/3/1999,1999,2100,50,7200,9350
Lost Island Lake,May,5/11/1999,1999,12400,240,56700,69340
Lost Island Lake,May,5/14/1999,1999,3400,100,14750,18250
Lost Island Lake,May,5/17/1999,1999,5600,100,26100,31800
Lost Island Lake,May,5/19/1999,1999,2400,150,12500,15050
Lost Island Lake,May,5/24/1999,1999,200,150,1500,1850
Lost Island Lake,May,5/26/1999,1999,1550,100,3900,5550
Lost Island Lake,May,5/27/1999,1999,2300,100,12030,14430
Lost Island Lake,October,10/15/1999,1999,0,100,4100,4200
Lost Island Lake,June,6/1/2000,2000,500,100,6500,7100
Lost Island Lake,June,6/2/2000,2000,100,0,1100,1200
Lost Island Lake,June,6/5/2000,2000,1500,0,4700,6200
Lost Island Lake,June,6/6/2000,2000,1200,0,11900,13100
Lost Island Lake,June,6/7/2000,2000,400,0,7200,7600
Lost Island Lake,June,6/8/2000,2000,2700,0,13800,16500
Lost Island Lake,June,6/12/2000,2000,1200,50,5100,6350
Lost Island Lake,October,10/10/2000,2000,450,40,3100,3590
Lost Island Lake,October,10/31/2000,2000,200,150,2300,2650
Lost Island Lake,may,5/15/2001,2001,26000,0,900,26900
Lost Island Lake,may,5/16/2001,2001,3000,0,700,3700
Lost Island Lake,may,5/18/2001,2001,7700,0,300,8000
Lost Island Lake,may,5/24/2001,2001,100,0,350,450
Lost Island Lake,May,5/30/2001,2001,1500,0,250,1750
Lost Island Lake,May,5/31/2001,2001,5100,0,400,5500
Lost Island Lake,June,6/4/2001,2001,3700,0,200,3900
Lost Island Lake,june,6/5/2001,2001,4000,0,400,4400
Lost Island Lake,june,6/6/2001,2001,4550,0,450,5000
Lost Island Lake,june,6/7/2001,2001,4100,0,450,4550
Lost Island Lake,October,10/10/2001,2001,100,0,4500,4600
Lost Island Lake,October,10/23/2001,2001,2500,0,1250,3750
Lost Island Lake,October,10/24/2001,2001,250,0,3400,3650
Lost Island Lake,May,5/7/2002,2002,1200,0,4100,5300
Lost Island Lake,may,5/15/2002,2002,400,0,15700,16100
Lost Island Lake,may,5/21/2002,2002,450,0,2700,3150
Lost Island Lake,may,5/23/2002,2002,700,0,4400,5100
Lost Island Lake,October,10/9/2002,2002,400,0,11900,12300
Lost Island Lake,april,4/23/2003,2003,11300,0,12500,23800
Lost Island Lake,may,5/7/2003,2003,9550,0,33100,42650
Lost Island Lake,may,5/12/2004,2004,11500,0,28750,40250
Lost Island Lake,may,2/25/2005,2005,4200,0,6800,11000
Lost Island Lake,june,6/2/2005,2005,1100,0,4400,5500
Lost Island Lake,may,5/2/2006,2006,12600,0,41000,53600
Lost Island Lake,may,5/9/2006,2006,800,0,6000,6800
Lost Island Lake,may,5/10/2006,2006,1100,0,1500,2600
Lost Island Lake,may,5/16/2006,2006,6000,0,500,6500
Lost Island Lake,may,5/25/2006,2006,300,0,8500,8800
Lost Island Lake,may,5/8/2008,2008,38000,200,41000,79200
Lost Island Lake,may,5/13/2008,2008,16500,100,20100,36700
Lost Island Lake,may,5/15/2008,2008,11300,0,26500,37800
Lost Island Lake,may,5/19/2008,2008,8500,100,39600,48200
Lost Island Lake,april,4/28/2009,2009,1600,50,13700,15350
Lost Island Lake,may,5/5/2009,2009,3500,0,28300,31800
Lost Island Lake,may,5/6/2009,2009,16700,200,48900,65800
Lost Island Lake,may,5/11/2009,2009,1500,50,13900,15450
Lost Island Lake,March,3/10/2010,2010,105779,100,73030,178909
Lost Island Lake,april,4/21/2010,2010,22300,150,24453,46903
Lost Island Lake,April,4/28/2010,2010,4400,100,17494,21994
Lost Island Lake,april,4/29/2010,2010,3500,0,44070,47570
Lost Island Lake,May,5/25/2010,2010,10200,50,38339,48589
Lost Island Lake,October,10/11/2010,2010,29400,50,48700,78150
Lost Island Lake,October,10/13/2010,2010,18300,40,24200,42540
Lost Island Lake,October,10/14/2010,2010,9400,20,36100,45520
Lost Island Lake,October,10/18/2010,2010,3600,60,14500,18160
Lost Island Lake,October,10/19/2010,2010,7100,50,5600,12750
Lost Island Lake,January,1/5/2011,2011,4300,50,3900,8250
Lost Island Lake,January,1/6/2011,2011,132761,732,98675,232168
Lost Island Lake,January,1/12/2011,2011,2200,40,2800,5040
Lost Island Lake,May,5/18/2011,2011,20,0,4300,4320
Lost Island Lake,May,5/19/2011,2011,1200,100,4000,5300
Lost Island Lake,November,11/12/2011,2011,5715,0,6260,11975
Lost Island Lake,November,11/13/2011,2011,38396,16,23536,61948
Lost Island Lake,November,11/19/2011,2011,17320,261,5105,22686
Lost Island Lake,November,11/28/2011,2011,24,0,6,30
Lost Island Lake,November,11/29/2011,2011,601,35,316,952
Lost Island Lake,March,3/26/2012,2012,21,0,33,54
Lost Island Lake,march,3/28/2012,2012,125,55,1192,1372
Lost Island Lake,March,3/29/2012,2012,440,12,850,1302
Lost Island Lake,March,3/30/2012,2012,250,7,900,1157
Lost Island Lake,May,5/5/2012,2012,16934,0,27982,44916
Lost Island Lake,November,11/9/2012,2012,575,0,720,1295
Lost Island Lake,June,6/3/2013,2013,150,300,3000,3450
Lost Island Lake,October,10/28/2013,2013,50,0,50,100
Lost Island Lake,May,5/10/2014,2014,5240,0,12685,17925
Lost Island Lake,May,5/19/2014,2014,611,0,4606,5217
Lost Island Lake,May,5/20/2014,2014,1000,0,1260,2260
Lost Island Lake,May,5/4/2015,2015,18815,35030,1285,55130
Lost Island Lake,October,10/17/2015,2015,1450,96,200,1746
Lost Island Lake,October,10/20/2015,2015,340,81,340,761
Lost Island Lake,May,5/8/2016,2016,15661,3050,14540,33251
Lost Island Lake,November,11/12/2016,2016,11,12,21,44
Lost Island Lake,November,11/13/2016,2016,337,218,404,959
Lost Island Lake,November,11/14/2016,2016,300,65,625,990
Lost Island Lake,May,5/7/2017,2017,10900,2000,9600,22500
Lost Island Lake,May,5/9/2017,2017,3900,950,1700,6550
Lost Island Lake,November,11/4/2017,2017,12794,3598,240,16632
Lost Island Lake,November,11/5/2017,2017,36,15,10,61
Lower Gar,May,5/14/1988,1988,960,600,1475,3035
Lower Gar,May,5/14/1988,1988,200,1100,1200,2500
Lower Gar,May,5/31/1988,1988,800,400,1300,2500
Lower Gar,May,5/31/1988,1988,200,100,2100,2400
Lower Gar,April,4/20/1989,1989,0,2100,24300,26400
Lower Gar,April,4/21/1989,1989,0,1100,5600,6700
Lower Gar,April,4/27/1989,1989,3200,700,14800,18700
Lower Gar,May,5/4/1989,1989,0,520,4100,4620
Lower Gar,May,5/11/1989,1989,0,1820,2625,4445
Lower Gar,May,5/18/1992,1992,0,460,945,1405
Lower Gar,May,5/21/1992,1992,0,85,136,221
Lower Gar,April,4/25/1996,1996,1600,500,3600,5700
Lower Gar,April,4/26/1996,1996,2400,3100,5600,11100
Lower Gar,June,6/3/1997,1997,1200,3500,11200,15900
Lower Gar,June,6/4/1997,1997,800,3600,3900,8300
Minnewashta,March,3/23/1984,1984,128,0,6500,6628
Minnewashta,January,1/13/1986,1986,2300,0,41114,43414
Minnewashta,January,1/30/1986,1986,0,125,7200,7325
Minnewashta,February,2/3/1988,1988,400,0,1700,2100
Minnewashta,April,4/20/1989,1989,0,0,2100,2100
Minnewashta,April,4/29/1996,1996,2300,2200,7600,12100
Minnewashta,May,5/17/1996,1996,1500,3200,500,5200
Silver Lake (Dickinson),October,10/25/1983,1983,120,0,150,270
Silver Lake (Dickinson),October,10/27/1983,1983,1100,0,1800,2900
Silver Lake (Dickinson),October,10/28/1983,1983,2010,0,1366,3376
Silver Lake (Dickinson),October,10/29/1983,1983,674,0,3592,4266
Silver Lake (Dickinson),October,10/30/1983,1983,8,0,40,48
Silver Lake (Dickinson),October,10/31/1983,1983,1726,0,665,2391
Silver Lake (Dickinson),November,11/1/1983,1983,100,0,500,600
Silver Lake (Dickinson),November,11/2/1983,1983,750,0,5300,6050
Silver Lake (Dickinson),November,11/4/1983,1983,680,0,1550,2230
Silver Lake (Dickinson),November,11/5/1983,1983,200,0,650,850
Silver Lake (Dickinson),November,11/6/1983,1983,150,0,2120,2270
Silver Lake (Dickinson),November,11/7/1983,1983,67,0,2979,3046
Silver Lake (Dickinson),November,11/20/1983,1983,400,0,2000,2400
Silver Lake (Dickinson),November,11/21/1983,1983,650,0,4450,5100
Silver Lake (Dickinson),November,11/22/1983,1983,280,0,1850,2130
Silver Lake (Dickinson),December,12/7/1983,1983,10,0,100,110
Silver Lake (Dickinson),December,12/8/1983,1983,0,0,50,50
Silver Lake (Dickinson),December,12/15/1983,1983,30,0,850,880
Silver Lake (Dickinson),December,12/16/1983,1983,0,0,230,230
Silver Lake (Dickinson),December,12/17/1983,1983,10,0,220,230
Silver Lake (Dickinson),January,1/25/1984,1984,0,0,68,68
Silver Lake (Dickinson),January,1/26/1984,1984,0,0,60,60
Silver Lake (Dickinson),January,1/27/1984,1984,0,0,50,50
Silver Lake (Dickinson),January,1/28/1984,1984,6,0,0,6
Silver Lake (Dickinson),January,1/29/1984,1984,16,0,0,16
Silver Lake (Dickinson),April,4/18/1989,1989,0,0,80,80
Silver Lake (Dickinson),April,4/20/1989,1989,2750,15,550,3315
Silver Lake (Dickinson),April,4/21/1989,1989,12,0,550,562
Silver Lake (Dickinson),September,9/21/1990,1990,12000,250,3000,15250
Silver Lake (Dickinson),September,9/23/1990,1990,150,10,150,310
Silver Lake (Dickinson),September,9/27/1990,1990,0,0,500,500
Silver Lake (Dickinson),September,9/29/1990,1990,150,30,450,630
Silver Lake (Dickinson),October,10/4/1990,1990,250,40,600,890
Silver Lake (Dickinson),October,10/12/1990,1990,1700,50,4500,6250
Silver Lake (Dickinson),October,10/14/1990,1990,300,30,700,1030
Silver Lake (Dickinson),October,10/15/1990,1990,320,20,800,1140
Silver Lake (Dickinson),October,10/16/1990,1990,500,100,4000,4600
Silver Lake (Dickinson),October,10/19/1990,1990,0,0,5000,5000
Silver Lake (Dickinson),October,10/20/1990,1990,0,25,1500,1525
Silver Lake (Dickinson),October,10/28/1990,1990,2000,100,4000,6100
Silver Lake (Dickinson),October,10/29/1990,1990,100,25,8000,8125
Silver Lake (Dickinson),November,11/8/1994,1994,400,0,13000,13400
Silver Lake (Dickinson),November,11/10/1994,1994,5000,500,15000,20500
Silver Lake (Dickinson),November,11/14/1994,1994,700,50,3000,3750
Silver Lake (Dickinson),November,11/16/1994,1994,0,0,0,0
Silver Lake (Dickinson),November,11/19/1994,1994,3000,100,6000,9100
Silver Lake (Dickinson),October,10/22/1996,1996,550,100,1000,1650
Silver Lake (Dickinson),October,10/24/1996,1996,4200,200,2000,6400
Silver Lake (Dickinson),October,10/26/1996,1996,100,50,100,250
Silver Lake (Dickinson),October,10/28/1996,1996,2500,0,5000,7500
Silver Lake (Dickinson),November,11/5/1996,1996,700,50,10400,11150
Silver Lake (Dickinson),October,10/25/1997,1997,200,150,400,750
Silver Lake (Dickinson),October,10/26/1997,1997,350,160,900,1410
Silver Lake (Dickinson),October,10/29/1997,1997,26050,750,24300,51100
Silver Lake (Dickinson),November,11/4/1997,1997,1500,580,5600,7680
Silver Lake (Dickinson),November,11/6/1997,1997,8500,1920,14850,25270
Silver Lake (Dickinson),November,11/8/1997,1997,1050,900,9500,11450
Silver Lake (Dickinson),November,11/9/1997,1997,4100,800,350,5250
Silver Lake (Dickinson),October,10/11/1998,1998,130,75,300,505
Silver Lake (Dickinson),October,10/13/1998,1998,3300,850,1800,5950
Silver Lake (Dickinson),November,11/15/1998,1998,100,50,1100,1250
Silver Lake (Dickinson),November,11/16/1998,1998,300,400,2200,2900
Silver Lake (Dickinson),November,11/17/1998,1998,300,50,2500,2850
Silver Lake (Dickinson),November,11/3/1999,1999,4010,100,8180,12290
Silver Lake (Dickinson),November,11/4/1999,1999,6600,0,4150,10750
Silver Lake (Dickinson),November,11/13/2001,2001,600,0,5000,5600
Silver Lake (Dickinson),October,10/7/2002,2002,1,250,18,269
Silver Lake (Dickinson),October,10/9/2002,2002,0,1000,400,1400
Silver Lake (Dickinson),October,10/10/2002,2002,0,200,300,500
Silver Lake (Dickinson),october,10/7/2003,2003,2880,120,760,3760
Silver Lake (Dickinson),november,11/5/2003,2003,10100,5665,21161,36926
Silver Lake (Dickinson),October,10/7/2004,2004,2010,670,778,3458
Silver Lake (Dickinson),november,11/2/2004,2004,12,200,1100,1312
Silver Lake (Dickinson),november,11/3/2004,2004,208,340,490,1038
