Lake,Month,Date,Year,Buffalo,Drum,Carp,Total Rough Fish
East Okoboji Lake,May,5/15/2000,2000,100,1250,2350,3700
East Okoboji Lake,May,5/24/2000,2000,820,3550,14700,19070
East Okoboji Lake,april,4/17/2001,2001,10550,14500,15300,40350
East Okoboji Lake,april,4/18/2001,2001,4075,300,14000,18375
East Okoboji Lake,april,4/20/2001,2001,5050,0,1400,6450
East Okoboji Lake,April,4/23/2001,2001,3500,8000,6300,17800
East Okoboji Lake,April,4/24/2001,2001,5025,4500,1500,11025
East Okoboji Lake,april,4/26/2001,2001,5000,2000,5000,12000
East Okoboji Lake,april,4/29/2001,2001,2250,1500,1500,5250
East Okoboji Lake,may,5/2/2001,2001,600,300,3000,3900
East Okoboji Lake,may,5/4/2001,2001,2350,100,4500,6950
East Okoboji Lake,may,5/9/2001,2001,1000,1000,5000,7000
East Okoboji Lake,may,5/10/2001,2001,1800,0,300,2100
East Okoboji Lake,may,5/16/2001,2001,6100,3000,2800,11900
East Okoboji Lake,may,5/17/2001,2001,750,0,8000,8750
East Okoboji Lake,may,5/18/2001,2001,900,500,900,2300
East Okoboji Lake,may,5/21/2001,2001,100,300,1400,1800
East Okoboji Lake,may,5/29/2001,2001,2500,0,4000,6500
East Okoboji Lake,May,5/30/2001,2001,0,700,2300,3000
East Okoboji Lake,june,6/1/2001,2001,200,50,50,300
East Okoboji Lake,February,2/13/2002,2002,6100,893,49030,56023
East Okoboji Lake,February,2/14/2002,2002,13450,5354,53465,72269
East Okoboji Lake,april,4/15/2002,2002,23600,9300,15500,48400
East Okoboji Lake,april,4/17/2002,2002,3500,550,8200,12250
East Okoboji Lake,april,4/22/2002,2002,700,1700,4500,6900
East Okoboji Lake,april,4/30/2002,2002,200,100,1200,1500
East Okoboji Lake,may,5/6/2002,2002,17400,1200,14750,33350
East Okoboji Lake,may,5/16/2002,2002,3200,2400,6100,11700
East Okoboji Lake,may,5/30/2002,2002,2700,1600,1350,5650
East Okoboji Lake,april,4/22/2003,2003,1100,800,6400,8300
East Okoboji Lake,april,4/28/2003,2003,14600,0,22900,37500
East Okoboji Lake,may,5/5/2003,2003,3000,850,13400,17250
East Okoboji Lake,may,5/14/2003,2003,4400,500,1150,6050
East Okoboji Lake,april,4/26/2004,2004,4200,2000,6100,12300
East Okoboji Lake,may,5/4/2004,2004,1200,5500,800,7500
East Okoboji Lake,may,5/5/2004,2004,9200,1200,9600,20000
East Okoboji Lake,may,5/10/2004,2004,1800,4200,6000,12000
East Okoboji Lake,may,5/11/2004,2004,7600,9500,2400,19500
East Okoboji Lake,april,4/21/2005,2005,9400,4500,15500,29400
East Okoboji Lake,april,4/26/2005,2005,1500,4700,45500,51700
East Okoboji Lake,may,5/3/2005,2005,1250,4600,12300,18150
East Okoboji Lake,may,5/16/2005,2005,1900,15200,6600,23700
East Okoboji Lake,april,4/11/2006,2006,3800,12200,11400,27400
East Okoboji Lake,april,4/12/2006,2006,16100,14000,2800,32900
East Okoboji Lake,april,4/18/2006,2006,2600,18500,3500,24600
East Okoboji Lake,april,4/25/2006,2006,800,4800,2400,8000
East Okoboji Lake,may,5/4/2006,2006,2100,5800,2800,10700
East Okoboji Lake,may,5/9/2006,2006,2200,9500,16400,28100
East Okoboji Lake,may,5/16/2006,2006,2200,11500,7600,21300
East Okoboji Lake,may,5/30/2006,2006,2700,0,6600,9300
East Okoboji Lake,may,5/31/2006,2006,800,9800,11200,21800
East Okoboji Lake,june,6/8/2006,2006,850,0,1900,2750
East Okoboji Lake,april,4/19/2007,2007,41200,8100,18500,67800
East Okoboji Lake,april,4/23/2007,2007,9200,6700,5500,21400
East Okoboji Lake,april,4/24/2007,2007,36500,7500,18400,62400
East Okoboji Lake,april,4/26/2007,2007,2400,6500,13000,21900
East Okoboji Lake,april,4/30/2007,2007,37300,9700,11800,58800
East Okoboji Lake,may,5/3/2007,2007,17900,4600,12700,35200
East Okoboji Lake,may,5/8/2007,2007,16300,7500,16300,40100
East Okoboji Lake,may,5/9/2007,2007,3500,9500,17200,30200
East Okoboji Lake,april,4/21/2008,2008,6100,18400,900,25400
East Okoboji Lake,april,4/22/2008,2008,800,2100,17200,20100
East Okoboji Lake,april,4/23/2008,2008,4300,3600,28000,35900
East Okoboji Lake,april,4/29/2008,2008,800,1700,22000,24500
East Okoboji Lake,april,4/30/2008,2008,100,50,200,350
East Okoboji Lake,may,5/6/2008,2008,4800,5100,500,10400
East Okoboji Lake,may,5/7/2008,2008,1200,5400,900,7500
East Okoboji Lake,may,5/14/2008,2008,50,100,600,750
East Okoboji Lake,may,5/22/2008,2008,3200,1600,400,5200
East Okoboji Lake,march,3/3/2009,2009,7200,14100,12900,34200
East Okoboji Lake,march,3/4/2009,2009,6400,16400,31700,54500
East Okoboji Lake,april,4/14/2009,2009,7200,6300,12500,26000
East Okoboji Lake,april,4/23/2009,2009,1500,900,16400,18800
East Okoboji Lake,may,5/12/2009,2009,11400,5800,1500,18700
East Okoboji Lake,april,4/20/2010,2010,19700,9500,4100,33300
East Okoboji Lake,april,4/27/2010,2010,200,9800,700,10700
East Okoboji Lake,may,5/4/2010,2010,10800,8500,2300,21600
East Okoboji Lake,may,5/19/2010,2010,10400,9700,300,20400
East Okoboji Lake,April,4/29/2011,2011,11000,5200,11300,27500
East Okoboji Lake,May,5/5/2011,2011,400,5300,800,6500
East Okoboji Lake,May,5/16/2011,2011,250,1600,200,2050
East Okoboji Lake,March,3/29/2012,2012,5700,1700,8600,16000
East Okoboji Lake,April,4/4/2012,2012,5200,1800,15900,22900
East Okoboji Lake,April,4/19/2012,2012,4400,0,2500,6900
East Okoboji Lake,April,4/23/2012,2012,900,1100,2800,4800
East Okoboji Lake,May,5/16/2013,2013,48200,6750,17100,72050
East Okoboji Lake,May,5/20/2013,2013,52600,6950,10800,70350
East Okoboji Lake,May,5/5/2014,2014,14600,4500,12200,31300
East Okoboji Lake,May,5/8/2014,2014,16200,18900,4400,39500
East Okoboji Lake,May,5/12/2014,2014,500,12100,1300,13900
East Okoboji Lake,May,5/14/2014,2014,28800,7700,18100,54600
East Okoboji Lake,May,5/21/2014,2014,24800,14300,12200,51300
East Okoboji Lake,May,5/27/2014,2014,2100,3900,1200,7200
East Okoboji Lake,April,4/27/2015,2015,13100,250,350,13700
East Okoboji Lake,April,4/30/2015,2015,2500,150,9100,11750
East Okoboji Lake,May,5/4/2015,2015,1700,0,300,2000
East Okoboji Lake,April,4/19/2016,2016,3100,400,6200,9700
Elk Lake,October,10/30/1995,1995,0,0,1900,1900
Elk Lake,April,4/15/1997,1997,3200,0,3300,6500
Elk Lake,April,4/17/1997,1997,10700,0,5700,16400
Elk Lake,October,10/20/1997,1997,5000,0,1150,6150
Elk Lake,October,10/21/1997,1997,1900,0,3236,5136
Elk Lake,October,10/22/1997,1997,3000,0,2850,5850
Elk Lake,April,4/14/1998,1998,2850,0,2900,5750
Elk Lake,April,4/15/1998,1998,530,0,600,1130
Elk Lake,November,11/3/1998,1998,1350,0,1400,2750
Elk Lake,May,5/20/1999,1999,350,50,4100,4500
Elk Lake,October,10/20/2000,2000,500,25,3000,3525
elk lake,october,10/14/2003,2003,3600,150,4400,8150
elk lake,September,9/8/2006,2006,15110,105,1075,16290
elk lake,october,10/31/2006,2006,1425,0,2800,4225
elk lake,november,11/1/2006,2006,21700,0,3915,25615
elk lake,September,9/15/2007,2007,11900,0,1110,13010
elk lake,September,9/16/2007,2007,3200,0,785,3985
elk lake,october,10/1/2007,2007,3810,0,2275,6085
elk lake,September,9/3/2008,2008,3195,0,900,4095
elk lake,September,9/4/2008,2008,11530,0,795,12325
elk lake,october,10/4/2009,2009,3785,0,1200,4985
Elk lake,September,9/20/2010,2010,450,0,2175,2625
elk lake,october,10/8/2010,2010,9300,0,120,9420
Elk lake,September,9/18/2011,2011,9250,0,1180,10430
Elk lake,September,9/19/2011,2011,1140,0,570,1710
Elk lake,October,10/11/2014,2014,11900,8,860,12768
Elk lake,October,10/12/2014,2014,5640,8,1280,6928
Elk lake,October,10/18/2015,2015,4900,18,1986,6904
Elk lake,October,10/19/2015,2015,900,9,310,1219
Elk lake,October,10/29/2016,2016,5675,0,650,6325
Elk lake,October,10/30/2016,2016,2410,4,260,2674
Elk lake,October,10/28/2017,2017,12719,70,3200,15989
Elk lake,October,10/29/2017,2017,1928,10,3682,5620
Five Island Lake,September,9/29/1987,1987,72,0,3400,3472
Five Island Lake,September,9/30/1987,1987,200,0,600,800
Five Island Lake,September,9/30/1987,1987,170,0,3500,3670
Five Island Lake,October,10/1/1987,1987,6000,0,250,6250
Five Island Lake,October,10/5/1987,1987,230,0,3400,3630
Five Island Lake,October,10/6/1987,1987,3785,0,840,4625
Five Island Lake,October,10/7/1987,1987,9450,0,10000,19450
Five Island Lake,October,10/19/1987,1987,3490,0,28600,32090
Five Island Lake,October,10/20/1987,1987,240,0,2700,2940
Five Island Lake,October,10/21/1987,1987,370,0,8100,8470
Five Island Lake,November,11/4/1987,1987,200,0,1500,1700
Five Island Lake,November,11/18/1987,1987,250,0,31480,31730
Five Island Lake,September,9/19/1988,1988,4600,0,8820,13420
Five Island Lake,September,9/20/1988,1988,17000,0,13800,30800
Five Island Lake,September,9/21/1988,1988,730,0,6600,7330
Five Island Lake,October,10/25/1988,1988,65,0,800,865
Five Island Lake,October,10/26/1988,1988,3255,0,11285,14540
Five Island Lake,October,10/27/1988,1988,405,0,8100,8505
Five Island Lake,November,11/1/1988,1988,3465,0,21185,24650
Five Island Lake,November,11/2/1988,1988,17020,0,14540,31560
Five Island Lake,November,11/5/1988,1988,210,0,10710,10920
Five Island Lake,November,11/7/1988,1988,210,0,21945,22155
Five Island Lake,November,11/8/1988,1988,17665,0,30765,48430
Five Island Lake,October,10/3/1989,1989,14250,0,50,14300
Five Island Lake,October,10/4/1989,1989,15,0,52,67
Five Island Lake,October,10/5/1989,1989,50,0,4500,4550
Five Island Lake,October,10/9/1989,1989,70,0,9500,9570
Five Island Lake,November,11/2/1989,1989,2020,0,47000,49020
Five Island Lake,November,11/3/1989,1989,25,0,17000,17025
Five Island Lake,September,9/19/1990,1990,150,0,22100,22250
Five Island Lake,September,9/20/1990,1990,8000,0,100,8100
Five Island Lake,October,10/20/1990,1990,2400,0,650,3050
Five Island Lake,October,10/22/1990,1990,1800,0,450,2250
Five Island Lake,November,11/3/1990,1990,15,0,500,515
Five Island Lake,November,11/3/1990,1990,30,0,900,930
