"","Var1","substock","stock","quality","preferred","memorable","trophy","Total"
"1","Black Bullhead.Blue",0,0,0,0,0,0,0
"2","Black Crappie.Blue",89,85,27,2,0,0,203
"3","Bluegill.Blue",39,209,94,1,0,0,343
"4","Brown Bullhead.Blue",0,0,0,0,0,0,0
"5","Channel Catfish.Blue",1,2,2,0,0,0,5
"6","Freshwater Drum.Blue",0,0,0,0,0,0,0
"7","Gizzard Shad.Blue",0,0,0,0,0,0,0
"8","Green Sunfish.Blue",0,3,0,0,0,0,3
"9","Largemouth Bass.Blue",33,0,1,12,2,0,48
"10","Northern Pike.Blue",0,0,0,0,0,0,0
"11","Pumpkinseed.Blue",0,0,0,0,0,0,0
"12","Smallmouth Bass.Blue",0,0,0,0,0,0,0
"13","Walleye.Blue",0,0,0,0,0,0,0
"14","White Bass.Blue",0,0,0,0,0,0,0
"15","White Crappie.Blue",0,0,0,0,0,0,0
"16","White Sucker.Blue",0,0,0,0,0,0,0
"17","Yellow Bass.Blue",0,0,0,0,0,0,0
"18","Yellow Bullhead.Blue",0,0,0,0,0,0,0
"19","Yellow Perch.Blue",0,0,0,0,0,0,0
"20","Black Bullhead.Center",0,0,0,0,0,0,0
"21","Black Crappie.Center",4,10,5,33,0,0,52
"22","Bluegill.Center",1,15,52,5,0,0,73
"23","Brown Bullhead.Center",0,0,0,4,0,0,4
"24","Channel Catfish.Center",0,0,0,0,0,0,0
"25","Freshwater Drum.Center",0,0,0,1,0,0,1
"26","Gizzard Shad.Center",0,0,0,0,0,0,0
"27","Green Sunfish.Center",0,0,0,0,0,0,0
"28","Largemouth Bass.Center",20,0,4,0,0,0,24
"29","Northern Pike.Center",0,0,0,0,0,0,0
"30","Pumpkinseed.Center",1,0,0,0,0,0,1
"31","Smallmouth Bass.Center",0,0,0,0,0,0,0
"32","Walleye.Center",1,6,2,0,0,0,9
"33","White Bass.Center",0,0,0,0,0,0,0
"34","White Crappie.Center",0,1,0,1,0,0,2
"35","White Sucker.Center",0,0,0,0,0,0,0
"36","Yellow Bass.Center",0,1,5,3,0,0,9
"37","Yellow Bullhead.Center",0,0,2,9,6,0,17
"38","Yellow Perch.Center",0,0,0,0,0,0,0
"39","Black Bullhead.Five Island",0,0,0,0,0,0,0
"40","Black Crappie.Five Island",0,0,0,0,0,0,0
"41","Bluegill.Five Island",0,1,3,1,0,0,5
"42","Brown Bullhead.Five Island",0,0,0,0,0,0,0
"43","Channel Catfish.Five Island",1,4,12,0,0,0,17
"44","Freshwater Drum.Five Island",0,0,0,0,0,0,0
"45","Gizzard Shad.Five Island",0,0,0,0,0,0,0
"46","Green Sunfish.Five Island",0,0,0,0,0,0,0
"47","Largemouth Bass.Five Island",0,3,10,1,0,0,14
"48","Northern Pike.Five Island",0,0,0,0,0,0,0
"49","Pumpkinseed.Five Island",0,0,0,0,0,0,0
"50","Smallmouth Bass.Five Island",0,0,0,0,0,0,0
"51","Walleye.Five Island",0,1,1,1,0,0,3
"52","White Bass.Five Island",0,0,0,0,0,0,0
"53","White Crappie.Five Island",0,0,0,0,0,0,0
"54","White Sucker.Five Island",0,0,0,0,0,0,0
"55","Yellow Bass.Five Island",0,31,20,0,0,0,51
"56","Yellow Bullhead.Five Island",0,0,0,0,0,0,0
"57","Yellow Perch.Five Island",1,4,0,0,0,0,5
"58","Black Bullhead.N Twin",312,2,0,2,0,0,316
"59","Black Crappie.N Twin",0,0,0,0,0,0,0
"60","Bluegill.N Twin",1,30,44,2,0,0,77
"61","Brown Bullhead.N Twin",0,0,0,0,0,0,0
"62","Channel Catfish.N Twin",0,0,5,0,0,0,5
"63","Freshwater Drum.N Twin",0,0,11,11,0,0,22
"64","Gizzard Shad.N Twin",0,0,0,0,0,0,0
"65","Green Sunfish.N Twin",0,0,1,0,0,0,1
"66","Largemouth Bass.N Twin",0,0,0,0,0,0,0
"67","Northern Pike.N Twin",0,0,0,0,0,0,0
"68","Pumpkinseed.N Twin",0,0,0,0,0,0,0
"69","Smallmouth Bass.N Twin",0,0,0,0,0,0,0
"70","Walleye.N Twin",5,7,1,6,1,0,20
"71","White Bass.N Twin",1,0,0,0,0,0,1
"72","White Crappie.N Twin",3,158,65,6,0,0,232
"73","White Sucker.N Twin",0,0,0,0,0,0,0
"74","Yellow Bass.N Twin",243,31,22,25,0,0,321
"75","Yellow Bullhead.N Twin",0,3,13,9,2,0,27
"76","Yellow Perch.N Twin",1,1,1,0,0,0,3
"77","Black Bullhead.S Twin",274,65,2,0,0,0,341
"78","Black Crappie.S Twin",0,0,0,0,0,0,0
"79","Bluegill.S Twin",0,5,0,0,0,0,5
"80","Brown Bullhead.S Twin",0,7,4,0,0,0,11
"81","Channel Catfish.S Twin",0,0,0,0,0,0,0
"82","Freshwater Drum.S Twin",17,22,1,0,0,0,40
"83","Gizzard Shad.S Twin",0,0,0,0,0,0,0
"84","Green Sunfish.S Twin",0,0,0,0,0,0,0
"85","Largemouth Bass.S Twin",0,0,0,0,0,0,0
"86","Northern Pike.S Twin",0,0,0,1,0,0,1
"87","Pumpkinseed.S Twin",0,0,0,0,0,0,0
"88","Smallmouth Bass.S Twin",0,0,0,0,0,0,0
"89","Walleye.S Twin",3,0,0,1,0,0,4
"90","White Bass.S Twin",0,0,0,0,0,0,0
"91","White Crappie.S Twin",101,206,12,0,0,0,319
"92","White Sucker.S Twin",0,0,0,0,0,0,0
"93","Yellow Bass.S Twin",1,29,0,0,0,0,30
"94","Yellow Bullhead.S Twin",0,31,11,9,0,0,51
"95","Yellow Perch.S Twin",1,4,0,0,0,0,5
"96","Black Bullhead.Silver",0,0,0,0,0,0,0
"97","Black Crappie.Silver",13,0,1,2,0,0,16
"98","Bluegill.Silver",14,23,7,9,0,0,53
"99","Brown Bullhead.Silver",0,0,0,0,0,0,0
"100","Channel Catfish.Silver",0,0,0,0,0,0,0
"101","Freshwater Drum.Silver",619,0,0,0,0,0,619
"102","Gizzard Shad.Silver",0,0,0,0,0,0,0
"103","Green Sunfish.Silver",0,1,0,0,0,0,1
"104","Largemouth Bass.Silver",3,1,1,2,0,0,7
"105","Northern Pike.Silver",2,1,3,1,0,0,7
"106","Pumpkinseed.Silver",0,0,1,0,0,0,1
"107","Smallmouth Bass.Silver",0,0,0,0,0,0,0
"108","Walleye.Silver",125,26,22,5,1,0,179
"109","White Bass.Silver",0,0,2,3,1,0,6
"110","White Crappie.Silver",0,0,0,0,0,0,0
"111","White Sucker.Silver",0,0,2,1,2,1,6
"112","Yellow Bass.Silver",5,218,44,79,4,0,350
"113","Yellow Bullhead.Silver",0,0,0,1,0,0,1
"114","Yellow Perch.Silver",11,4,0,1,0,0,16
"115","Black Bullhead.Storm",0,0,0,0,0,0,0
"116","Black Crappie.Storm",10,0,0,0,0,0,10
"117","Bluegill.Storm",8,9,1,1,0,0,19
"118","Brown Bullhead.Storm",0,0,0,0,0,0,0
"119","Channel Catfish.Storm",2,0,3,1,0,0,6
"120","Freshwater Drum.Storm",0,0,0,0,0,0,0
"121","Gizzard Shad.Storm",4682,0,32,0,0,0,4714
"122","Green Sunfish.Storm",0,0,0,0,0,0,0
"123","Largemouth Bass.Storm",8,4,0,0,0,0,12
"124","Northern Pike.Storm",0,0,0,0,0,0,0
"125","Pumpkinseed.Storm",0,0,0,0,0,0,0
"126","Smallmouth Bass.Storm",0,1,0,0,0,0,1
"127","Walleye.Storm",99,11,2,1,2,0,115
"128","White Bass.Storm",693,453,1,56,4,0,1207
"129","White Crappie.Storm",231,1,32,1,0,0,265
"130","White Sucker.Storm",0,0,0,0,1,0,1
"131","Yellow Bass.Storm",0,0,2,0,0,0,2
"132","Yellow Bullhead.Storm",0,0,0,0,0,0,0
"133","Yellow Perch.Storm",13,1,1,0,0,0,15
