"","Lake","Year","C.L.BM","C.BM","C.U.BM","C.L.BMDensity","C.BMDensity","C.U.BMDensity","B.L.BM","B.BM","B.U.BM","B.L.BMDensity","B.BMDensity","B.U.BMDensity"
"1","Blue","2017",69338.496207034,131847.823484978,245011.335533054,257.763926420201,490.140607750849,910.822808673062,NA,NA,NA,NA,NA,NA
"2","Center","2017",38015.7820859406,48720.1816509875,65023.8920063555,172.799009481548,221.455371140852,295.563145483434,62430.9315391294,72181.7734659026,85864.0482424226,283.776961541497,328.098970299557,390.291128374648
"3","N Twin","2017",5749.85663962797,9608.0057739356,18207.100878367,12.6928402640794,21.2097257702773,40.1922756696844,60026.1580849038,106943.250034993,190060.834244092,132.508075242613,236.077814646783,419.560340494685
"4","S Twin","2017",23530.9886040791,44656.3392139569,80604.2688889053,39.2183143401318,74.4272320232615,134.340448148175,20464.272564209,25492.5310443037,32343.5332234327,34.1071209403483,42.4875517405061,53.9058887057211
