Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
5/10/2018,Blue,17705,COC,406,910,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17706,COC,401,870,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17707,COC,399,840,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17708,COC,344,580,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17709,COC,385,815,,,Dorsal,lost spine,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,7829,COC,355,680,1,,Dorsal,Recap,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17712,COC,511,1515,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17713,COC,472,1275,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17714,COC,612,3030,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17715,COC,370,720,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17716,COC,465,1230,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17717,COC,364,650,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17718,COC,373,750,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17719,COC,474,1340,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17720,COC,471,1190,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17721,COC,502,1410,,,Dorsal,Messed up eye and fin,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17722,COC,374,625,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17723,COC,465,1250,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,17710,COC,607,2950,,,Dorsal,,Electroshocking,2,SW Corner,SW corner,42 2.088 N,96 9.802 W,1484,,,partly cloudy/ about 18.3 C
5/10/2018,Blue,264,COC,529,1665,1,,Dorsal,Recap,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526,418,,,windy and sunny
5/10/2018,Blue,17724,COC,390,710,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17725,COC,375,700,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17751,COC,481,1200,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17752,COC,495,1390,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17753,COC,403,795,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17754,COC,408,805,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17755,COC,432,985,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17756,COC,424,1115,,,Dorsal,,Electroshocking,3,42 1.936 N,96 9.526 W,42 2.040 N,96 9.526 W,418,,,windy and sunny
5/10/2018,Blue,17757,COC,402,810,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17759,COC,339,595,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17760,COC,371,715,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17761,COC,350,645,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17762,COC,398,825,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17763,COC,471,1410,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,10262,COC,581,2065,1,,Dorsal,Recap,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17764,COC,550,2115,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17765,COC,360,620,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17766,COC,418,890,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17767,COC,396,755,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17768,COC,503,1815,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17769,COC,384,785,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17770,COC,342,545,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17771,COC,383,720,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17772,COC,396,835,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17773,COC,568,2085,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17774,COC,382,635,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17775,COC,371,650,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17776,COC,366,730,,,dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17777,COC,519,1850,,,dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17778,COC,386,770,,,dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17779,COC,357,605,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17780,COC,382,630,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17781,COC,385,730,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17782,COC,371,665,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17783,COC,518,1635,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17784,COC,368,740,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17785,COC,356,570,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17786,COC,395,780,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17787,COC,351,620,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17788,COC,385,700,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17789,COC,450,1075,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17790,COC,576,2045,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,7590,COC,438,915,1,,Dorsal,Recap,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17791,COC,581,2270,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17792,COC,366,655,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17793,COC,464,1180,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17794,COC,342,525,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17795,COC,392,830,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17796,COC,386,765,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17797,COC,545,1970,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17798,COC,382,740,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17799,COC,359,715,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17800,COC,352,635,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17501,COC,390,800,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17502,COC,336,490,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17503,COC,348,595,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17504,COC,424,1025,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17505,COC,390,765,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17506,COC,580,2225,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17507,COC,585,21695,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17508,COC,524,1520,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17509,COC,612,3090,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17510,COC,609,2860,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17511,COC,416,1050,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17512,COC,396,720,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17513,COC,518,1665,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17514,COC,530,1590,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17515,COC,380,680,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17516,COC,461,1165,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17517,COC,431,945,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17518,COC,360,725,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17519,COC,421,930,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,17520,COC,338,470,,,Dorsal,,Electroshocking,4,,,,,,,,
5/10/2018,Blue,10980,COC,394,770,1,,Dorsal,Recap,Electroshocking,4,,,,,,,,
