"Var1","substock","stock","quality","preferred","memorable","trophy","Total"
"Common Carp.Silver",0,0,4,2,0,0,6
"Freshwater Drum.Silver",6,13,0,1,0,0,20
"Gizzard Shad.Silver",0,0,0,0,0,0,0
"Green Sunfish.Silver",0,0,0,0,0,0,0
"Largemouth Bass.Silver",1,0,0,0,0,0,1
"Northern Pike.Silver",0,0,3,1,0,0,4
"Walleye.Silver",5,27,46,5,1,0,84
"White Bass.Silver",0,4,3,7,5,0,19
"White Crappie.Silver",2,5,54,10,1,0,72
"White Sucker.Silver",0,2,0,2,37,11,52
"Yellow Bass.Silver",3,2,15,2,1,0,23
"Yellow Bullhead.Silver",0,0,8,11,16,1,36
"Yellow Perch.Silver",11,0,2,7,1,0,21
"Bigmouth Buffalo.Storm",0,0,0,0,0,0,0
"Black Bullhead.Storm",0,0,0,0,0,0,0
"Black Crappie.Storm",1,2,1,12,0,0,16
"Bluegill.Storm",3,3,2,0,0,0,8
"Brown Bullhead.Storm",0,0,0,0,0,0,0
"Channel Catfish.Storm",0,0,1,0,0,0,1
"Common Carp.Storm",1,0,1,2,0,0,4
"Freshwater Drum.Storm",0,0,0,0,0,0,0
"Gizzard Shad.Storm",66,0,0,0,0,0,66
"Green Sunfish.Storm",0,0,0,0,0,0,0
"Largemouth Bass.Storm",1,0,0,2,0,0,3
"Northern Pike.Storm",0,0,0,0,1,0,1
"Walleye.Storm",2,2,7,3,1,0,15
"White Bass.Storm",423,5,0,13,3,0,444
"White Crappie.Storm",369,2,1,9,0,0,381
"White Sucker.Storm",0,0,0,4,4,0,8
"Yellow Bass.Storm",0,0,0,0,0,0,0
"Yellow Bullhead.Storm",0,0,0,0,0,0,0
"Yellow Perch.Storm",7,2,0,0,0,0,9
