LOGIT Link Function Parameters of {Buf S((Center, NTwin, STwin) * Winter)  p(g * t)- MCMC} Chain 1
Index,Parameter,Mean,Standard Dev.,Median,Mode,Jumps(%),Jump Size,2.5th Percntile,5th Percntile,10th Percntile,20th Percntile,80th Percntile,90th Percntile,95th Percntile,97.5th Percntile,80% Lower CI,80% Upper CI,90% Lower CI,90% Upper CI,95% Lower CI,95% Upper CI,
         1,                    ,3.3253339     ,0.9606699     ,3.1202168     ,2.8593664     ,      42.7,   0.35575,1.8523473     ,2.0670143     ,2.2757271     ,2.5355446     ,4.0963919     ,4.7626820     ,5.3401896     ,5.5462732     ,2.0546910     ,4.3610372     ,1.8780236     ,5.0316965     ,1.8937814     ,5.5551671     ,
         2,                    ,-1.5025877    ,1.6219417     ,-1.5742465    ,-2.3977437    ,      56.4,   0.30007,-4.4802463    ,-4.0942724    ,-3.6349747    ,-2.8754375    ,0.0498502     ,0.6562847     ,1.1850874     ,1.5412296     ,-3.4319697    ,0.8236981     ,-4.1723809    ,1.0622280     ,-4.4657549    ,1.5497415     ,
         3,                    ,0.1673536     ,1.3454880     ,0.0282241     ,-0.4787917    ,      15.8,   4.56955,-2.2958339    ,-1.9125513    ,-1.4579118    ,-0.8938818    ,1.2987363     ,1.9538401     ,2.5649237     ,3.0443207     ,-1.5326215    ,1.7232120     ,-1.6313889    ,2.7427525     ,-2.3803011    ,2.8509877     ,
         4,                    ,0.2191196     ,1.0816292     ,0.2603884     ,0.3330022     ,      36.7,   0.50000,-2.1528950    ,-1.7175628    ,-1.1889829    ,-0.6420566    ,1.0972649     ,1.5391060     ,1.9998833     ,2.3077129     ,-1.0459913    ,1.6746856     ,-1.4529436    ,2.2074692     ,-2.0272326    ,2.3548040     ,
         5,                    ,-1.3395002    ,1.9831661     ,-1.2035281    ,-1.0702695    ,      42.8,   0.50000,-5.9144177    ,-4.9771357    ,-3.6455213    ,-2.9006978    ,0.2310792     ,1.0196997     ,1.7284120     ,2.2696839     ,-3.5803679    ,1.0605591     ,-4.2609078    ,2.2053550     ,-5.1915605    ,2.7022437     ,
         6,                    ,-0.2591608    ,1.4991932     ,-0.3637370    ,-0.6063264    ,      30.8,   2.74237,-2.7868344    ,-2.5222431    ,-2.1452830    ,-1.6421844    ,1.0260324     ,1.7194647     ,2.3207480     ,2.7851693     ,-2.3957779    ,1.3998981     ,-2.7512709    ,1.9977407     ,-2.7512709    ,2.7851693     ,
         7,                    ,-0.0112520    ,1.8072339     ,0.0174125     ,0.1848848     ,      52.9,   3.25119,-3.6501008    ,-2.9997600    ,-2.2998181    ,-1.4969183    ,1.4698084     ,2.2673549     ,2.9588653     ,3.5307768     ,-2.3209490    ,2.1989840     ,-2.9235791    ,3.0058289     ,-3.4430515    ,3.6783371     ,
         8,                    ,0.0617887     ,1.7544352     ,0.0378797     ,-0.3530561    ,      41.2,   4.56955,-3.2776305    ,-2.7832195    ,-2.1761150    ,-1.3704412    ,1.5297697     ,2.2656790     ,2.9681652     ,3.6668569     ,-2.2781123    ,2.1377342     ,-2.6912409    ,3.0344692     ,-3.4049437    ,3.4473160     ,
         9,                    ,-0.0672419    ,1.7002018     ,-0.0497518    ,-0.0484525    ,      41.5,   4.56955,-3.4824771    ,-2.9396322    ,-2.2309869    ,-1.4767906    ,1.3568360     ,2.1244005     ,2.6523774     ,3.2350528     ,-2.1130006    ,2.2151924     ,-2.8283069    ,2.7022647     ,-3.5423536    ,3.1233237     ,
        10,                    ,-0.0202453    ,1.7539528     ,-0.0621259    ,0.0166571     ,      40.9,   4.56955,-3.5467845    ,-2.8635167    ,-2.1668866    ,-1.4602560    ,1.4589608     ,2.2246103     ,2.8526350     ,3.3942777     ,-1.9916157    ,2.3786027     ,-2.8646687    ,2.8454261     ,-3.5622119    ,3.3237711     ,
