facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,692,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,91,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.05,mg/l,False,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.02,mg/l,False,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen,Total,,1.1,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,7440-44-0,Organic carbon,Total,,28,mg/l,True,0.5,,,415.1,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.1,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
6,22670002,Blue Lake,2005-10-11T14:00:00-05:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,44,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,MONONA,10230001,Lake,
