Year,LakeName,LakeID,LAT,LONG,SampleType,DOY,SampleID,TP_mg,TP_ugL,SRP_mg,SRP_ug,TSS_mg/L,VSS_mg/L,ISS_mg/L,TN_mg,Nox_mg,SD_m,Chla_ug/L,Phyco_ug/L,Phyco_ug/L_rerun
2018,Swan,SW,42.03612,-94.8391,Surface,159,P18-159-SW-E01,0.11415,114.15,0.0049736,4.9736,22,10,12,10.95185,0.18275,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,159,P18-159-SW-H01,0.42725,427.25,0.0540865,54.0865,,,,,,,,,
2018,Center,CE,43.41263,-95.1357333,Surface,163,P18-163-CE-E01,0.0205,20.5,0.00219525,2.19525,2,,,12.0755,0.202445,1.49,3.3822328,37.5713296,53.7740272
2018,Center,CE,43.41263,-95.1357333,Bottom,163,P18-163-CE-H01,0.03165,31.65,0.00189855,1.89855,10,,,,,,,,
2018,Five Island,FI,43.1545,-94.6479833,Surface,163,P18-163-FI-E01,0.1262,126.2,0.00437515,4.37515,39,30,9,6.2458,2.40045,0.3,21.2339704,198.8043104,129.7071104
2018,Five Island,FI,43.1545,-94.6479833,Bottom,163,P18-163-FI-H01,0.15225,152.25,0.0032445,3.2445,56,38,18,,,,,,
2018,Silver,SI,43.44145,-95.3352667,Surface,164,P18-164-SI-E01,0.1031,103.1,0.0275515,27.5515,11,7,4,15.5635,1.63485,0.71,9.3726252,42.228848,50.35424
2018,Silver,SI,43.44145,-95.3352667,Bottom,164,P18-164-SI-H01,0.0727,72.7,0.032489,32.489,11,,,,,,,,
2018,Storm,SO,42.61977,-95.18565,Surface,164,P18-164-SO-E01,0.03655,36.55,0.00373235,3.73235,,,,8.69285,0.17325,0.68,9.9764748,31.1730976,49.1485616
2018,Storm,SO,42.61977,-95.18565,Bottom,164,P18-164-SO-H01,0.0538,53.8,0.00395125,3.95125,24,7,17,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,166,P18-166-SW-E01,0.27605,276.05,0.071112,71.112,20,14,6,2.64675,0.16697,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,166,P18-166-SW-H01,0.26725,267.25,0.076664,76.664,24,20,4,,,,,,
2018,North Twin,NT,42.47563,-94.6404667,Surface,171,P18-171-NT-E01,0.08315,83.15,0.00543785,5.43785,10,8,2,2.68055,0.38817,0.4,29.3863256,54.6012288,81.8226928
2018,North Twin,NT,42.47563,-94.6404667,Bottom,171,P18-171-NT-H01,,,0.0029434,2.9434,,,,,,,,,
2018,South Twin,ST,42.45847,-94.6535667,Surface,171,P18-171-ST-E01,0.21525,215.25,0.002946,2.946,79,41,38,2.6864,0.163375,0.15,52.8589544,87.27536,52.0702976
2018,South Twin,ST,42.45847,-94.6535667,Bottom,171,P18-171-ST-H01,0.1876,187.6,0.0027875,2.7875,76,38,38,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,173,P18-173-SW-E01,0.30175,301.75,0.072731,72.731,27,11,16,3.15285,0.600575,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,173,P18-173-SW-H01,0.31465,314.65,0.071035,71.035,36,11,25,,,,,,
2018,Center,CE,43.41263,-95.1357333,Surface,178,P18-178-CE-E01,0.0476,47.6,0.0025784,2.5784,4,3,1,1.6517,0.219945,0.725,27.6524752,51.228288,70.1012304
2018,Center,CE,43.41263,-95.1357333,Bottom,178,P18-178-CE-H01,0.2456,245.6,0.0039872,3.9872,,,,,,,,,
2018,Five Island,FI,43.1545,-94.6479833,Surface,178,P18-178-FI-E01,0.23455,234.55,0.00927655,9.27655,34,24,10,4.66855,2.10165,0.34,75.3226608,43.3038496,72.2290432
2018,Five Island,FI,43.1545,-94.6479833,Bottom,178,P18-178-FI-H01,0.1777,177.7,0.0495975,49.5975,36,16,20,,,,,,
2018,Silver,SI,43.44145,-95.3352667,Surface,178,P18-178-SI-E01,0.20635,206.35,0.14206,142.06,13,5,8,3.9629,2.81655,0.525,6.6015108,43.1608448,43.1029104
2018,Silver,SI,43.44145,-95.3352667,Bottom,178,P18-178-SI-H01,0.3559,355.9,0.174075,174.075,104,24,80,,,,,,
2018,Storm,SO,42.61977,-95.18565,Surface,179,P18-179-SO-E01,0.06815,68.15,0.019309,19.309,12,6,6,0.917615,,0.515,3.5764788,241.7279408,40.331576
2018,Storm,SO,42.61977,-95.18565,Bottom,179,P18-179-SO-H01,0.06125,61.25,0.0196915,19.6915,13,7,6,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,180,P18-180-SW-E01,0.2315,231.5,0.054554,54.554,25,16,9,3.0044,0.7511,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,180,P18-180-SW-H01,0.24815,248.15,0.0563755,56.3755,19,16,3,,,,,,
2018,North Twin,NT,42.47563,-94.6404667,Surface,183,P18-183-NT-E01,0.07045,70.45,0.0042948,4.2948,31,20,11,2.53545,0.334,0.325,50.8168168,264.4829632,79.0760144
2018,North Twin,NT,42.47563,-94.6404667,Bottom,183,P18-183-NT-H01,0.0789,78.9,0.00280635,2.80635,25,21,4,,,,,,
2018,South Twin,ST,42.45847,-94.6535667,Surface,184,P18-184-ST-E01,0.17865,178.65,0.0022036,2.2036,56,42,14,2.44325,0.11365,0.21,31.38383,46.2995536,62.12748
2018,South Twin,ST,42.45847,-94.6535667,Bottom,184,P18-184-ST-H01,0.1805,180.5,0.00172145,1.72145,58,38,20,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,184,P18-184-SW-E01,0.17295,172.95,0.0035251,3.5251,27,14,13,2.4228,0.385815,0.375,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,184,P18-184-SW-H01,0.21505,215.05,0.01089725,10.89725,33,17,16,,,,,,
2018,Center,CE,43.41263,-95.1357333,Surface,192,P18-192-CE-E01,0.0504,50.4,0.001587,1.587,28,24,4,1.65245,0.082968,0.425,36.609192,62.964544,47.4004512
2018,Center,CE,43.41263,-95.1357333,Bottom,192,P18-192-CE-H01,0.0488,48.8,0.00217775,2.17775,18,11,7,,,,,,
2018,Silver,SI,43.44145,-95.3352667,Surface,192,P18-192-SI-E01,0.16065,160.65,0.098963,98.963,11,7,4,3.14855,2.0795,0.55,15.1171976,115.7308496,48.1771152
2018,Silver,SI,43.44145,-95.3352667,Bottom,192,P18-192-SI-H01,0.15065,150.65,0.10565,105.65,11,7,4,,,,,,
2018,Storm,SO,42.61977,-95.18565,Surface,192,P18-192-SO-E01,0.0572,57.2,0.01111695,11.11695,13,11,2,0.655245,0.0463105,0.375,6.2477228,35.3276336,65.8579328
2018,Storm,SO,42.61977,-95.18565,Bottom,192,P18-192-SO-H01,0.06615,66.15,0.00952925,9.52925,23,15,8,,,,,,
2018,Five Island,FI,43.1545,-94.6479833,Surface,193,P18-193-FI-E01,0.07905,79.05,0.00279585,2.79585,25,15,10,3.4539,1.48525,0.45,42.4406208,49.7439968,116.18576
2018,Five Island,FI,43.1545,-94.6479833,Bottom,193,P18-193-FI-H01,0.12645,126.45,0.0380095,38.0095,19,12,7,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,194,P18-194-SW-E01,0.25025,250.25,0.0063155,6.3155,31,30,1,2.446,0.15493,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,194,P18-194-SW-H01,0.132,132,0.11735,117.35,23,,,,,,,,
2018,North Twin,NT,42.47563,-94.6404667,Surface,197,P18-197-NT-E01,0.06585,65.85,0.00412105,4.12105,27,,,2.47625,0.25469,0.295,58.8825084,157.2466224,176.0579248
2018,North Twin,NT,42.47563,-94.6404667,Bottom,197,P18-197-NT-H01,0.06965,69.65,0.00315175,3.15175,28,25,3,,,,,,
2018,South Twin,ST,42.45847,-94.6535667,Surface,197,P18-197-ST-E01,0.14035,140.35,0.0022083,2.2083,62,46,16,2.2412,0.1491,0.205,40.5650624,56.3592016,85.9180544
2018,South Twin,ST,42.45847,-94.6535667,Bottom,197,P18-197-ST-H01,0.12715,127.15,0.0033379,3.3379,52,39,13,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,201,P18-201-SW-E01,0.29155,291.55,0.068987,68.987,21,21,0,2.3831,0.10682,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,201,P18-201-SW-H01,0.29425,294.25,0.0780825,78.0825,16,15,1,,,,,,
2018,Five Island,FI,43.1545,-94.6479833,Surface,205,P18-205-FI-E01,0.1719,171.9,0.004662,4.662,56,37,19,2.9689,0.24516,0.21,109.5305864,296.8193072,320.0391024
2018,Five Island,FI,43.1545,-94.6479833,Bottom,205,P18-205-FI-H01,0.12715,127.15,0.00277325,2.77325,40,23,17,,,,,,
2018,Silver,SI,43.44145,-95.3352667,Surface,205,P18-205-SI-E01,0.1637,163.7,0.056627,56.627,18,13,5,2.7089,0.601225,0.44,49.753332,209.778696,47.6445456
2018,Silver,SI,43.44145,-95.3352667,Bottom,205,P18-205-SI-H01,0.1572,157.2,0.06105,61.05,16,13,3,,,,,,
2018,Center,CE,43.41263,-95.1357333,Surface,206,P18-206-CE-E01,0.045,45,0.00542915,5.42915,19,19,0,1.53705,0.089087,0.665,19.9862652,54.6653344,66.3584496
2018,Center,CE,43.41263,-95.1357333,Bottom,206,P18-206-CE-H01,0.06285,62.85,0.00297905,2.97905,22,16,6,,,,,,
2018,Storm,SO,42.61977,-95.18565,Surface,206,P18-206-SO-E01,0.07945,79.45,0.022526,22.526,22,11,11,0.65351,0.0152342,0.405,3.7918364,99.0633936,3.6459136
2018,Storm,SO,42.61977,-95.18565,Bottom,206,P18-206-SO-H01,0.0944,94.4,0.0244805,24.4805,43,15,28,,,,,,
