facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-02-0,Nickel,Total,,23,mg/kg,True,5,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-22-4,Silver,Total,,1,mg/kg,False,1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-28-0,Thallium,Total,,0.3,mg/kg,True,0.1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-36-0,Antimony,Total,,0.5,mg/kg,False,0.5,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-38-2,Arsenic,Total,,3.9,mg/kg,True,1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-41-7,Beryllium,Total,,2,mg/kg,False,2,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-43-9,Cadmium,Total,,0.1,mg/kg,False,0.1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-47-3,Chromium,Total,,17,mg/kg,True,2,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-50-8,Copper,Total,,19,mg/kg,True,1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7440-66-6,Zinc,Total,,64,mg/kg,True,2,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,7782-49-2,Selenium,Total,,4.3,mg/kg,True,1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,1024-57-3,Heptachlor epoxide,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,1031-07-8,Endosulfan sulfate,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,309-00-2,Aldrin,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,319-84-6,.alpha.-Hexachlorocyclohexane,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,319-85-7,.beta.-Hexachlorocyclohexane,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,319-86-8,.delta.-Hexachlorocyclohexane,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,33213-65-9,.beta.-Endosulfan,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,50-29-3,"p,p'-DDT",Total,,0.05,mg/kg,False,0.05,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
6,22130001,North Twin Lake (maximum water depth),2005-08-29T13:20:00-05:00,AMBLAKE-SHL,53494-70-5,Endrin ketone,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,CALHOUN,07100006,Lake,
