Sample ID,Lake Name,Sampling Date,Chlorophyll a (free of pheophytin) (µg/L),Phycocyanin (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Nonvolatile (Inorganic) Suspended Solids (mg/L),Total Kjeldahl Nitrogen as N (mg/L),Total Phosphorus as P (mg/L),Soluble Reactive Phosphorus as P (mg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),NH3+NH4 as N (mg/L),TDS (mg/L)
17S17RD5023,(S17) South Twin Lake (Calhoun),9/20/17,25,1.65,64.0,64.0,0.3,2.78,0.1787,0.0024,0.02,0.027,448
17S18136012,(S18) Sunken Grove Lake (Pocahontas),5/16/17,6,1.65,<0.8,0.0,0.3,1.50,0.0473,0.0024,1.9,0.144,508
17S18RD2017,(S18) Sunken Grove Lake (Pocahontas),6/6/17,2,1.65,5.0,8.0,0.3,1.46,0.0568,0.0063,2.1,0.053,299
17S18RD3020,(S18) Sunken Grove Lake (Pocahontas),7/11/17,2,1.65,<0.8,0.0,0.3,0.96,0.0363,0.0066,0.0,0.033,341
17S18RD5021,(S18) Sunken Grove Lake (Pocahontas),9/20/17,17,1.65,27.0,14.0,13.0,2.56,0.1830,0.0322,0.2,0.352,481
17S19136016,(S19) Trumball Lake (Clay),5/16/17,21,1.65,8.0,8.0,0.3,2.50,0.0417,0.0024,5.1,0.033,802
17S19RD2018,(S19) Trumball Lake (Clay),6/6/17,2,1.65,1.0,1.0,0.3,1.24,0.0465,0.0024,2.8,0.123,586
17S19RD3021,(S19) Trumball Lake (Clay),7/11/17,2,1.65,2.0,2.0,0.3,0.64,0.0160,0.0094,7.4,0.036,568
17S19RD4021,(S19) Trumball Lake (Clay),8/25/17,22,1.65, 19.0 ,4.0,15.0,1.32,0.1225,0.0024,1.3,0.016,320
17S19RD5015,(S19) Trumball Lake (Clay),9/20/17,29,1.65,27.0,15.0,12.0,1.22,0.1134,0.0024,0.0,0.063,462
17S20135014,(S20) Tuttle Lake (Emmet),5/15/17,82,1.65,30.0,17.0,13.0,0.91,0.0788,0.0080,2.9,0.016,532
17S20RD2019,(S20) Tuttle Lake (Emmet),6/5/17,2,1.65,22.5,22.5,0.3,1.44,0.0277,0.0024,8.3,0.153,596
17S20RD3009,(S20) Tuttle Lake (Emmet),7/10/17,28,1.65,40.0,25.0,15.0,1.78,0.1212,0.0070,0.0,0.005,433
17S20RD4009,(S20) Tuttle Lake (Emmet),8/24/17,6,1.65, 55.0 ,38.0,17.0,2.73,0.2227,0.0024,0.02,0.010,248
17S20RD5007,(S20) Tuttle Lake (Emmet),9/19/17,5,1.65,37.0,32.0,5.0,2.32,0.1886,0.0024,0.02,0.018,391
17S21136015,(S21) Twelve Mile Lake (Emmet),5/16/17,164,1.65,65.0,50.0,15.0,4.39,0.3031,0.0024,0.0,0.033,308
17S21RD2020,(S21) Twelve Mile Lake (Emmet),6/6/17,47,1.65,32.0,32.0,0.3,4.67,0.2359,0.0024,0.0,0.026,257
17S21RD3022,(S21) Twelve Mile Lake (Emmet),7/10/17,2,1.65,74.0,62.0,12.0,5.11,0.2942,0.0061,0.0,0.012,273
17S21RD4010,(S21) Twelve Mile Lake (Emmet),8/24/17,1.65,1.65, 45.0 ,26.0,19.0,7.60,0.5659,0.0024,0.02,0.014,172
17S21RD5011,(S21) Twelve Mile Lake (Emmet),9/19/17,155,1.65,32.0,29.0,3.0,7.88,0.5453,0.0024,0.02,0.026,258
17S22136013,(S22) Virgin Lake (Palo Alto),5/16/17,2,1.65,5.0,5.0,0.3,0.33,0.2229,0.1488,0.0,0.015,530
17S22RD2021,(S22) Virgin Lake (Palo Alto),6/6/17,47,1.65,85.0,30.0,55.0,2.52,0.2950,0.1296,0.0,0.075,461
17S22RD3023,(S22) Virgin Lake (Palo Alto),7/11/17,2,1.65,0.0,0.0,0.3,0.95,0.3629,0.2603,0.0,0.004,464
17S22RD4022,(S22) Virgin Lake (Palo Alto),8/25/17,1.65,1.65, 3.0 ,0.0,3.0,1.18,0.2284,0.1293,0.02,0.025,299
17S22RD5017,(S22) Virgin Lake (Palo Alto),9/20/17,14,1.65,112.0,77.0,35.0,2.29,0.5569,0.1624,0.1,0.121,452
17S23136021,(S23) West Hottes Lake (Dickinson),5/16/17,5,1.65,9.0,4.0,5.0,0.81,0.0662,0.0077,0.0,0.101,490
17S23RD2022,(S23) West Hottes Lake (Dickinson),6/6/17,2,1.65,12.0,4.0,8.0,0.93,0.0326,0.0024,0.0,0.016,347
17S23RD3024,(S23) West Hottes Lake (Dickinson),7/11/17,2,1.65,6.0,6.0,0.3,0.80,0.0218,0.0085,0.0,0.003,239
17S23RD4023,(S23) West Hottes Lake (Dickinson),8/24/17,4,1.65, 10.0 ,0.0,10.0,0.96,0.0400,0.0024,0.02,0.031,225
17S23RD5014,(S23) West Hottes Lake (Dickinson),9/19/17,1.65,1.65,6.0,6.0,0.3,0.84,0.0359,0.0024,0.1,0.081,359
17S24135015,(S24) West Swan Lake (Emmet),5/15/17,48,1.65,35.0,16.0,19.0,1.86,0.1385,0.0024,0.0,0.129,686
17S24RD2023,(S24) West Swan Lake (Emmet),6/5/17,20,1.65,26.0,12.0,14.0,2.40,0.0953,0.0024,0.4,0.014,473
17S24RD3010,(S24) West Swan Lake (Emmet),7/10/17,5,1.65,52.0,26.0,26.0,2.43,0.1461,0.0100,0.0,0.013,404
17S24RD4011,(S24) West Swan Lake (Emmet),8/24/17,17,1.65, 49.0 ,18.0,31.0,2.05,0.1295,0.0024,0.02,0.013,239
17S24RD5008,(S24) West Swan Lake (Emmet),9/19/17,30,1.65,35.0,15.0,20.0,1.85,0.1099,0.0024,0.02,0.030,396
17S25135012,(S25) West Twin Lake (Hancock),5/15/17,76,1.65,2.0,2.0,0.3,0.81,0.2008,0.0024,0.3,0.216,366
17S25RD2024,(S25) West Twin Lake (Hancock),6/5/17,30,1.65,53.6,35.0,18.6,3.87,0.2018,0.0024,0.3,0.293,310
17S25RD3011,(S25) West Twin Lake (Hancock),7/10/17,30,1.65,152.0,82.0,70.0,2.13,0.2537,0.0074,0.0,0.013,206
17S25RD4024,(S25) West Twin Lake (Hancock),8/24/17,64,1.65, 55.0 ,33.0,22.0,2.74,0.1547,0.0024,0.02,0.015,149
17S25RD5004,(S25) West Twin Lake (Hancock),9/19/17,42,1.65,68.0,48.0,20.0,3.50,0.2230,0.0068,0.02,0.016,215
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
